team_name;wins;draws;losses;goals_scored;goals_conceded;clean_sheets;average_possession;shots;shots_on_target
Manchester City;32;2;4;95;23;20;68;527;298
Liverpool;30;7;1;89;22;21;62;472;264
Manchester United;19;9;10;65;54;7;55;434;263
Chelsea;21;9;8;63;39;16;64;446;236
Tottenham Hotspur;23;2;13;67;39;13;59;433;226
Arsenal;21;7;10;73;51;8;58;377;208
Leicester City;15;7;16;51;48;10;51;420;222
Everton;15;9;14;54;46;14;52;396;207
AFC Bournemouth;13;6;19;56;70;10;47;375;200
Wolverhampton Wanderers;16;9;13;47;46;9;47;397;188
West Ham United;15;7;16;52;55;7;49;365;194
Crystal Palace;14;7;17;51;53;12;45;392;184
Watford;14;8;16;52;59;7;47;347;188
Southampton;9;12;17;45;65;7;43;383;200
Newcastle United;12;9;17;42;48;11;40;366;178
Fulham;7;5;26;34;81;5;49;376;181
Burnley;11;7;20;45;68;8;41;309;150
Cardiff City;10;4;24;34;69;10;35;342;162
Brighton & Hove Albion;9;9;20;35;60;7;42;320;143
Huddersfield Town;3;7;28;22;76;5;47;324;154
